Episode,Scenario,Reward,Steps,Success,Collision,RepeatFailure,CorrectReject,FalseReject,RecoverySuccess
200,dynamic_obstacle,1.97,1,True,False,False,True,False,False
201,dynamic_obstacle,1.97,1,True,False,False,True,False,False
202,entrance_misclassification,1.97,1,True,False,False,True,False,False
203,dynamic_obstacle,-9.0775,2,True,False,False,True,False,False
204,rough_terrain,2.33,2,True,False,False,True,False,False
205,rough_terrain,-1.03,1,False,False,False,False,True,False
206,dynamic_obstacle,-9.238,2,True,False,False,True,False,False
207,post_collision,-1.03,1,False,False,False,False,True,False
208,pedestrian,-10.8151,2,True,False,False,True,False,False
209,post_collision,-11.1864,2,True,False,False,True,False,False
210,rough_terrain,-1.03,1,False,False,False,False,True,False
211,post_collision,-1.03,1,False,False,False,False,True,False
212,rough_terrain,-1.03,1,False,False,False,False,True,False
213,dynamic_obstacle,2.33,2,True,False,False,True,False,False
214,post_collision,-12.6037,2,True,False,False,True,False,False
215,dynamic_obstacle,1.97,1,True,False,False,True,False,False
216,repeat_failure,1.97,1,True,False,False,True,False,False
217,repeat_failure,1.97,1,True,False,False,True,False,False
218,pedestrian,-8.9471,2,True,False,False,True,False,False
219,entrance_misclassification,1.97,1,True,False,False,True,False,False
220,entrance_misclassification,1.97,1,True,False,False,True,False,False
221,pedestrian,1.97,1,True,False,False,True,False,False
222,entrance_misclassification,1.97,1,True,False,False,True,False,False
223,pedestrian,8.3413,1,True,False,False,False,False,False
224,dynamic_obstacle,1.97,1,True,False,False,True,False,False
225,entrance_misclassification,1.97,1,True,False,False,True,False,False
226,rough_terrain,8.6822,1,True,False,False,False,False,False
227,rough_terrain,-8.7456,2,True,False,False,True,False,False
228,repeat_failure,1.97,1,True,False,False,True,False,False
229,post_collision,-12.3761,2,True,False,False,True,False,False
230,entrance_misclassification,1.97,1,True,False,False,True,False,False
231,repeat_failure,1.97,1,True,False,False,True,False,False
232,pedestrian,1.97,1,True,False,False,True,False,False
233,entrance_misclassification,-8.7288,2,True,False,False,True,False,False
234,rough_terrain,9.1058,1,True,False,False,False,False,False
235,rough_terrain,-11.5673,3,True,False,False,True,False,False
236,entrance_misclassification,-8.7252,2,True,False,False,True,False,False
237,post_collision,-11.2542,2,True,False,False,True,False,False
238,entrance_misclassification,1.97,1,True,False,False,True,False,False
239,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
240,repeat_failure,1.97,1,True,False,False,True,False,False
241,entrance_misclassification,-8.9901,2,True,False,False,True,False,False
242,rough_terrain,9.3127,1,True,False,False,False,False,False
243,repeat_failure,1.97,1,True,False,False,True,False,False
244,repeat_failure,-12.4852,2,True,False,False,True,False,False
245,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
246,repeat_failure,-12.8037,2,True,False,False,True,False,False
247,rough_terrain,1.97,1,True,False,False,True,False,False
248,repeat_failure,1.97,1,True,False,False,True,False,False
249,pedestrian,-1.03,1,False,False,False,False,True,False
250,rough_terrain,-1.03,1,False,False,False,False,True,False
251,rough_terrain,1.97,1,True,False,False,True,False,False
252,entrance_misclassification,1.97,1,True,False,False,True,False,False
253,post_collision,1.97,1,True,False,False,True,False,False
254,rough_terrain,1.97,1,True,False,False,True,False,False
255,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
256,rough_terrain,-1.03,1,False,False,False,False,True,False
257,pedestrian,-10.3063,2,True,False,False,True,False,False
258,post_collision,-11.5263,2,True,False,False,True,False,False
259,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
260,pedestrian,9.2148,1,True,False,False,False,False,False
261,rough_terrain,-1.03,1,False,False,False,False,True,False
262,pedestrian,-27.1768,3,True,False,False,True,False,False
263,entrance_misclassification,1.97,1,True,False,False,True,False,False
264,post_collision,-11.6008,2,True,False,False,True,False,False
265,entrance_misclassification,-8.8568,2,True,False,False,True,False,False
