Phase,Scene,Planner,Seed,Success,Length,Clearance,Time
point,w6,RRT*,59,True,48.467,0,0.0391
point,w6,RRT*,60,True,48.194,0,0.0368
point,w6,RRT*,61,True,48.505,0,0.0345
point,w6,RRT*,62,True,48.445,0,0.0351
point,w6,RRT*,63,True,48.479,0,0.0337
point,w6,RRT*,64,True,48.638,0,0.0356
point,w6,RRT*,65,True,47.374,0,0.0372
point,w6,RRT*,66,True,47.936,0,0.0393
point,w6,RRT*,67,True,48.023,0,0.0359
point,w6,RRT*,68,True,48.071,0,0.0357
point,w6,RRT*,69,True,47.446,0,0.0338
point,w6,RRT*,70,True,48.434,0,0.0357
point,w6,RRT*,71,True,49.61,0,0.0364
point,w6,RRT*,72,True,48.845,0,0.036
point,w6,RRT*,73,True,47.35,0,0.035
point,w6,RRT*,74,True,48.024,0,0.0428
point,w6,RRT*,75,True,47.443,0,0.0551
point,w6,RRT*,76,True,47.561,0,0.0467
point,w6,RRT*,77,True,47.658,0,0.0321
point,w6,RRT*,78,True,47.78,0,0.039
point,w6,RRT*,79,True,47.521,0,0.0384
point,w6,RRT*,80,True,48.601,0,0.0268
point,w6,RRT*,81,True,49.431,0,0.0374
point,w6,RRT*,82,True,48.681,0,0.0395
point,w6,RRT*,83,True,47.444,0,0.0386
point,w6,RRT*,84,True,48.421,0,0.0387
point,w6,RRT*,85,True,47.439,0,0.0356
point,w6,RRT*,86,True,47.766,0,0.0351
point,w6,RRT*,87,True,47.848,0,0.0345
point,w6,RRT*,88,True,47.898,0,0.035
point,w6,RRT*,89,True,47.617,0,0.0315
point,w6,RRT*,90,True,48.48,0,0.0357
point,w6,RRT*,91,True,47.549,0,0.0365
point,w6,RRT*,92,True,48.988,0,0.0359
point,w6,RRT*,93,True,47.919,0,0.0357
point,w6,RRT*,94,True,52.251,0,0.037
point,w6,RRT*,95,True,48.773,0,0.0379
point,w6,RRT*,96,True,49.299,0,0.0376
point,w6,RRT*,97,True,47.525,0,0.0393
point,w6,RRT*,98,True,47.617,0,0.0357
point,w6,RRT*,99,True,47.91,0,0.0311
point,w5,RRT,0,True,56.219,0,0.0061
point,w5,RRT,1,True,63.262,0,0.0032
point,w5,RRT,2,True,54.612,0,0.0028
point,w5,RRT,3,True,55.95,0,0.0049
point,w5,RRT,4,True,58.36,0,0.0042
point,w5,RRT,5,True,57.355,0,0.0035
point,w5,RRT,6,True,52.995,0,0.0005
point,w5,RRT,7,True,56.095,0,0.001
point,w5,RRT,8,True,59.634,0,0.0024
point,w5,RRT,9,True,61.273,0,0.0057
point,w5,RRT,10,True,51.842,0,0.0031
point,w5,RRT,11,True,62.956,0,0.0043
point,w5,RRT,12,True,66.173,0,0.0065
point,w5,RRT,13,True,51.802,0,0.0012
point,w5,RRT,14,True,64.178,0,0.0031
point,w5,RRT,15,True,61.2,1,0.0058
point,w5,RRT,16,True,61.216,1,0.0158
point,w5,RRT,17,True,52.451,0,0.0005
point,w5,RRT,18,True,61.344,0,0.0042
point,w5,RRT,19,True,56.833,0,0.0038
point,w5,RRT,20,True,58.439,0,0.0016
point,w5,RRT,21,True,55.784,0,0.0035
point,w5,RRT,22,True,59.418,0,0.0077
point,w5,RRT,23,True,54.064,0,0.0038
point,w5,RRT,24,True,54.434,1,0.003
point,w5,RRT,25,True,60.303,0,0.0055
point,w5,RRT,26,True,59.207,0,0.0042
point,w5,RRT,27,True,54.454,0,0.0032
point,w5,RRT,28,True,57.353,0,0.0012
point,w5,RRT,29,True,59.514,0,0.008
point,w5,RRT,30,True,56.289,0,0.0029
point,w5,RRT,31,True,51.427,0,0.0019
point,w5,RRT,32,True,59.065,0,0.0076
point,w5,RRT,33,True,59.999,0,0.0067
point,w5,RRT,34,True,54.228,0,0.0015
point,w5,RRT,35,True,50.704,0,0.0015
point,w5,RRT,36,True,59.678,0,0.0039
point,w5,RRT,37,True,59.662,0,0.0045
point,w5,RRT,38,True,52.758,0,0.0005
point,w5,RRT,39,True,57.574,0,0.0055
point,w5,RRT,40,True,58.555,0,0.004
point,w5,RRT,41,True,60.433,1,0.0032
point,w5,RRT,42,True,54.329,0,0.0037
point,w5,RRT,43,True,55.944,0,0.0022
point,w5,RRT,44,True,55.227,0,0.0009
point,w5,RRT,45,True,62.099,0,0.0024
point,w5,RRT,46,True,62.21,0,0.0026
point,w5,RRT,47,True,53.803,0,0.0006
point,w5,RRT,48,True,54.117,0,0.0058
point,w5,RRT,49,True,57.44,0,0.005
point,w5,RRT,50,True,60.884,0,0.0079
point,w5,RRT,51,True,65.775,0,0.0016
point,w5,RRT,52,True,60.272,0,0.0025
point,w5,RRT,53,True,57.561,0,0.001
point,w5,RRT,54,True,52.499,0,0.0052
point,w5,RRT,55,True,59.107,0,0.0028
point,w5,RRT,56,True,53.02,0,0.0015
point,w5,RRT,57,True,58.008,0,0.0018
point,w5,RRT,58,True,57.402,0,0.0009
point,w5,RRT,59,True,56.219,0,0.0025
point,w5,RRT,60,True,62.946,0,0.0041
point,w5,RRT,61,True,65.418,0,0.0062
point,w5,RRT,62,True,60.367,0,0.004
point,w5,RRT,63,True,59.45,0,0.0049
point,w5,RRT,64,True,58.182,0,0.0059
point,w5,RRT,65,True,55.954,0,0.0007
point,w5,RRT,66,True,58.933,0,0.0054
point,w5,RRT,67,True,56.451,0,0.003
point,w5,RRT,68,True,55.344,0,0.0092
point,w5,RRT,69,True,58.36,0,0.0058
point,w5,RRT,70,True,63.897,0,0.0068
point,w5,RRT,71,True,63.344,0,0.0045
point,w5,RRT,72,True,69.369,0,0.004
point,w5,RRT,73,True,59.767,0,0.0039
point,w5,RRT,74,True,57.687,0,0.0042
point,w5,RRT,75,True,57.644,0,0.0034
point,w5,RRT,76,True,58.026,0,0.0032
point,w5,RRT,77,True,60.435,0,0.006
point,w5,RRT,78,True,59.692,0,0.0031
point,w5,RRT,79,True,55.543,0,0.0059
point,w5,RRT,80,True,64.11,0,0.0156
point,w5,RRT,81,True,65.27,0,0.0061
point,w5,RRT,82,True,65.784,0,0.0096
point,w5,RRT,83,True,59.766,0,0.0086
point,w5,RRT,84,True,57.84,0,0.0062
point,w5,RRT,85,True,61.523,0,0.004
point,w5,RRT,86,True,64.095,0,0.0059
point,w5,RRT,87,True,51.485,0,0.0004
point,w5,RRT,88,True,58.108,0,0.0025
point,w5,RRT,89,True,61.964,0,0.0025
point,w5,RRT,90,True,54.946,0,0.0037
point,w5,RRT,91,True,58.679,0,0.0054
point,w5,RRT,92,True,53.731,0,0.0022
point,w5,RRT,93,True,61.912,0,0.0102
point,w5,RRT,94,False,0.0,0.0,0.017
point,w5,RRT,95,True,56.627,0,0.0031
point,w5,RRT,96,True,58.723,1,0.0047
point,w5,RRT,97,True,56.463,0,0.0054
point,w5,RRT,98,True,63.317,0,0.0042
point,w5,RRT,99,True,60.182,0,0.0044
point,w5,RRT*,0,True,48.533,0,0.0262
point,w5,RRT*,1,True,49.783,0,0.0342
point,w5,RRT*,2,True,48.216,0,0.0365
point,w5,RRT*,3,True,47.859,0,0.0343
point,w5,RRT*,4,True,48.5,0,0.0378
point,w5,RRT*,5,True,49.181,0,0.034
point,w5,RRT*,6,True,47.979,0,0.0372
point,w5,RRT*,7,True,48.077,0,0.0392
point,w5,RRT*,8,True,48.629,1,0.0322
point,w5,RRT*,9,True,47.916,0,0.0341
point,w5,RRT*,10,True,48.045,1,0.0376
point,w5,RRT*,11,True,48.145,0,0.0367
point,w5,RRT*,12,True,48.797,0,0.0336
point,w5,RRT*,13,True,47.816,0,0.039
point,w5,RRT*,14,True,48.367,0,0.0368
point,w5,RRT*,15,True,48.705,0,0.04
point,w5,RRT*,16,True,48.084,0,0.0346
point,w5,RRT*,17,True,47.947,0,0.0364
point,w5,RRT*,18,True,47.968,0,0.0357
point,w5,RRT*,19,True,47.928,0,0.0381
point,w5,RRT*,20,True,48.794,0,0.0331
point,w5,RRT*,21,True,48.552,0,0.0361
point,w5,RRT*,22,True,47.981,0,0.0365
point,w5,RRT*,23,True,48.125,0,0.0351
point,w5,RRT*,24,True,48.39,0,0.038
point,w5,RRT*,25,True,49.714,0,0.0355
point,w5,RRT*,26,True,48.097,0,0.0393
