Suite,Variant,Seed,Mission,Attempt,TrajectoryType,Planned,Executable,Collision,UsedFailedPassage,Replans,WaitSteps,TimeSteps,PathLength,MinClearance,PredictionMAE,MeanRiskRadius,ExpandedStates,MeanPlanningTime,TotalCost
dataset-hidden-blockage-medium,ATR proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,0.0745,220.456
dataset-hidden-blockage-medium,ATR proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,120.456,0,0.0,0.0,0,0.0747,225.456
dataset-hidden-blockage-medium,ATR proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,0.0759,220.456
dataset-hidden-blockage-medium,ATR proxy + failure memory,1,1,2,"(234, 159)",True,True,False,True,1,0,0,119.87,0,0.0,0.0,0,0.0736,124.87
dataset-hidden-blockage-medium,DDP proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.2573,221.042
dataset-hidden-blockage-medium,DDP proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.2583,226.042
dataset-hidden-blockage-medium,DDP proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.2595,221.042
dataset-hidden-blockage-medium,DDP proxy + failure memory,1,1,2,"(234, 159)",True,True,False,True,1,0,0,121.042,0,0.0,0.0,0,0.26,126.042
dataset-hidden-blockage-medium,RTEB proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,2.1085,220.456
dataset-hidden-blockage-medium,RTEB proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,120.456,0,0.0,0.0,0,2.1054,225.456
dataset-hidden-blockage-medium,RTEB proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,2.1195,220.456
dataset-hidden-blockage-medium,RTEB proxy + failure memory,1,1,2,"(234, 159)",True,True,False,False,1,0,0,119.87,0,0.0,0.0,0,2.0446,124.87
dataset-hidden-blockage-medium,Ours full,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,1.8374,221.042
dataset-hidden-blockage-medium,Ours full,1,1,2,"(234, 159)",True,True,False,True,1,0,0,121.042,0,0.0,0.0,0,1.83,126.042
dataset-hidden-blockage-hard,RPP proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.0732,221.042
dataset-hidden-blockage-hard,RPP proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.0727,226.042
dataset-hidden-blockage-hard,RPP proxy + random retry,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.0729,221.042
dataset-hidden-blockage-hard,RPP proxy + random retry,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.0736,226.042
dataset-hidden-blockage-hard,RPP proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.0723,221.042
dataset-hidden-blockage-hard,RPP proxy + failure memory,1,1,2,"(234, 159)",True,True,False,True,1,0,0,121.042,0,0.0,0.0,0,0.0736,126.042
dataset-hidden-blockage-hard,ATR proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,0.0733,220.456
dataset-hidden-blockage-hard,ATR proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,120.456,0,0.0,0.0,0,0.0747,225.456
dataset-hidden-blockage-hard,ATR proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,0.0743,220.456
dataset-hidden-blockage-hard,ATR proxy + failure memory,1,1,2,"(234, 159)",True,True,False,True,1,0,0,119.87,0,0.0,0.0,0,0.0735,124.87
dataset-hidden-blockage-hard,DDP proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.2594,221.042
dataset-hidden-blockage-hard,DDP proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.2566,226.042
dataset-hidden-blockage-hard,DDP proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.2613,221.042
dataset-hidden-blockage-hard,DDP proxy + failure memory,1,1,2,"(234, 159)",True,True,False,True,1,0,0,121.042,0,0.0,0.0,0,0.2607,126.042
