Variant,Batch,Task,Attempt,Start,Goal,SafeOpeningStart,Planned,Executable,UsedShortPassage,Length,RememberedCells
A* repeated baseline,15,3,2,"(5, 7)","(44, 9)",16,True,False,True,39.828,0
A* repeated baseline,15,4,1,"(5, 7)","(44, 9)",17,True,False,True,39.828,0
A* repeated baseline,15,4,2,"(5, 7)","(44, 9)",17,True,False,True,39.828,0
A* repeated baseline,15,5,1,"(5, 9)","(44, 6)",17,True,False,True,40.243,0
A* repeated baseline,15,5,2,"(5, 9)","(44, 6)",17,True,False,True,40.243,0
A* repeated baseline,16,1,1,"(5, 7)","(44, 8)",17,True,False,True,39.414,0
A* repeated baseline,16,1,2,"(5, 7)","(44, 8)",17,True,False,True,39.414,0
A* repeated baseline,16,2,1,"(5, 8)","(44, 5)",15,True,False,True,40.243,0
A* repeated baseline,16,2,2,"(5, 8)","(44, 5)",15,True,False,True,40.243,0
A* repeated baseline,16,3,1,"(5, 9)","(44, 6)",17,True,False,True,40.243,0
A* repeated baseline,16,3,2,"(5, 9)","(44, 6)",17,True,False,True,40.243,0
A* repeated baseline,16,4,1,"(5, 7)","(44, 6)",15,True,False,True,39.414,0
A* repeated baseline,16,4,2,"(5, 7)","(44, 6)",15,True,False,True,39.414,0
A* repeated baseline,16,5,1,"(5, 6)","(44, 8)",16,True,False,True,39.828,0
A* repeated baseline,16,5,2,"(5, 6)","(44, 8)",16,True,False,True,39.828,0
A* repeated baseline,17,1,1,"(5, 9)","(44, 8)",15,True,False,True,40.243,0
A* repeated baseline,17,1,2,"(5, 9)","(44, 8)",15,True,False,True,40.243,0
A* repeated baseline,17,2,1,"(5, 8)","(44, 9)",16,True,False,True,40.243,0
A* repeated baseline,17,2,2,"(5, 8)","(44, 9)",16,True,False,True,40.243,0
A* repeated baseline,17,3,1,"(5, 5)","(44, 6)",16,True,False,True,40.243,0
A* repeated baseline,17,3,2,"(5, 5)","(44, 6)",16,True,False,True,40.243,0
A* repeated baseline,17,4,1,"(5, 5)","(44, 7)",17,True,False,True,39.828,0
A* repeated baseline,17,4,2,"(5, 5)","(44, 7)",17,True,False,True,39.828,0
A* repeated baseline,17,5,1,"(5, 6)","(44, 8)",17,True,False,True,39.828,0
A* repeated baseline,17,5,2,"(5, 6)","(44, 8)",17,True,False,True,39.828,0
A* repeated baseline,18,1,1,"(5, 8)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,18,1,2,"(5, 8)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,18,2,1,"(5, 5)","(44, 5)",16,True,False,True,40.657,0
A* repeated baseline,18,2,2,"(5, 5)","(44, 5)",16,True,False,True,40.657,0
A* repeated baseline,18,3,1,"(5, 7)","(44, 7)",16,True,False,True,39.0,0
A* repeated baseline,18,3,2,"(5, 7)","(44, 7)",16,True,False,True,39.0,0
A* repeated baseline,18,4,1,"(5, 5)","(44, 8)",15,True,False,True,40.243,0
A* repeated baseline,18,4,2,"(5, 5)","(44, 8)",15,True,False,True,40.243,0
A* repeated baseline,18,5,1,"(5, 9)","(44, 5)",17,True,False,True,40.657,0
A* repeated baseline,18,5,2,"(5, 9)","(44, 5)",17,True,False,True,40.657,0
A* repeated baseline,19,1,1,"(5, 6)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,19,1,2,"(5, 6)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,19,2,1,"(5, 8)","(44, 7)",15,True,False,True,39.414,0
A* repeated baseline,19,2,2,"(5, 8)","(44, 7)",15,True,False,True,39.414,0
A* repeated baseline,19,3,1,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,19,3,2,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,19,4,1,"(5, 5)","(44, 9)",17,True,False,True,40.657,0
A* repeated baseline,19,4,2,"(5, 5)","(44, 9)",17,True,False,True,40.657,0
A* repeated baseline,19,5,1,"(5, 5)","(44, 6)",15,True,False,True,40.243,0
A* repeated baseline,19,5,2,"(5, 5)","(44, 6)",15,True,False,True,40.243,0
A* repeated baseline,20,1,1,"(5, 9)","(44, 6)",16,True,False,True,40.243,0
A* repeated baseline,20,1,2,"(5, 9)","(44, 6)",16,True,False,True,40.243,0
A* repeated baseline,20,2,1,"(5, 7)","(44, 6)",15,True,False,True,39.414,0
A* repeated baseline,20,2,2,"(5, 7)","(44, 6)",15,True,False,True,39.414,0
A* repeated baseline,20,3,1,"(5, 8)","(44, 8)",17,True,False,True,39.828,0
A* repeated baseline,20,3,2,"(5, 8)","(44, 8)",17,True,False,True,39.828,0
A* repeated baseline,20,4,1,"(5, 5)","(44, 5)",16,True,False,True,40.657,0
A* repeated baseline,20,4,2,"(5, 5)","(44, 5)",16,True,False,True,40.657,0
A* repeated baseline,20,5,1,"(5, 8)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,20,5,2,"(5, 8)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,21,1,1,"(5, 6)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,21,1,2,"(5, 6)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,21,2,1,"(5, 7)","(44, 5)",15,True,False,True,39.828,0
A* repeated baseline,21,2,2,"(5, 7)","(44, 5)",15,True,False,True,39.828,0
A* repeated baseline,21,3,1,"(5, 7)","(44, 5)",15,True,False,True,39.828,0
A* repeated baseline,21,3,2,"(5, 7)","(44, 5)",15,True,False,True,39.828,0
A* repeated baseline,21,4,1,"(5, 5)","(44, 6)",17,True,False,True,40.243,0
A* repeated baseline,21,4,2,"(5, 5)","(44, 6)",17,True,False,True,40.243,0
A* repeated baseline,21,5,1,"(5, 7)","(44, 9)",16,True,False,True,39.828,0
A* repeated baseline,21,5,2,"(5, 7)","(44, 9)",16,True,False,True,39.828,0
A* repeated baseline,22,1,1,"(5, 7)","(44, 9)",15,True,False,True,39.828,0
A* repeated baseline,22,1,2,"(5, 7)","(44, 9)",15,True,False,True,39.828,0
A* repeated baseline,22,2,1,"(5, 9)","(44, 8)",17,True,False,True,40.243,0
A* repeated baseline,22,2,2,"(5, 9)","(44, 8)",17,True,False,True,40.243,0
A* repeated baseline,22,3,1,"(5, 8)","(44, 8)",16,True,False,True,39.828,0
A* repeated baseline,22,3,2,"(5, 8)","(44, 8)",16,True,False,True,39.828,0
A* repeated baseline,22,4,1,"(5, 9)","(44, 6)",15,True,False,True,40.243,0
A* repeated baseline,22,4,2,"(5, 9)","(44, 6)",15,True,False,True,40.243,0
A* repeated baseline,22,5,1,"(5, 8)","(44, 9)",16,True,False,True,40.243,0
A* repeated baseline,22,5,2,"(5, 8)","(44, 9)",16,True,False,True,40.243,0
A* repeated baseline,23,1,1,"(5, 5)","(44, 6)",15,True,False,True,40.243,0
A* repeated baseline,23,1,2,"(5, 5)","(44, 6)",15,True,False,True,40.243,0
A* repeated baseline,23,2,1,"(5, 7)","(44, 7)",16,True,False,True,39.0,0
A* repeated baseline,23,2,2,"(5, 7)","(44, 7)",16,True,False,True,39.0,0
A* repeated baseline,23,3,1,"(5, 7)","(44, 5)",16,True,False,True,39.828,0
A* repeated baseline,23,3,2,"(5, 7)","(44, 5)",16,True,False,True,39.828,0
A* repeated baseline,23,4,1,"(5, 9)","(44, 5)",15,True,False,True,40.657,0
A* repeated baseline,23,4,2,"(5, 9)","(44, 5)",15,True,False,True,40.657,0
A* repeated baseline,23,5,1,"(5, 7)","(44, 6)",15,True,False,True,39.414,0
A* repeated baseline,23,5,2,"(5, 7)","(44, 6)",15,True,False,True,39.414,0
A* repeated baseline,24,1,1,"(5, 9)","(44, 7)",16,True,False,True,39.828,0
A* repeated baseline,24,1,2,"(5, 9)","(44, 7)",16,True,False,True,39.828,0
A* repeated baseline,24,2,1,"(5, 8)","(44, 9)",15,True,False,True,40.243,0
A* repeated baseline,24,2,2,"(5, 8)","(44, 9)",15,True,False,True,40.243,0
A* repeated baseline,24,3,1,"(5, 7)","(44, 5)",16,True,False,True,39.828,0
A* repeated baseline,24,3,2,"(5, 7)","(44, 5)",16,True,False,True,39.828,0
A* repeated baseline,24,4,1,"(5, 6)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,24,4,2,"(5, 6)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,24,5,1,"(5, 6)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,24,5,2,"(5, 6)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,25,1,1,"(5, 5)","(44, 7)",16,True,False,True,39.828,0
A* repeated baseline,25,1,2,"(5, 5)","(44, 7)",16,True,False,True,39.828,0
A* repeated baseline,25,2,1,"(5, 7)","(44, 7)",16,True,False,True,39.0,0
A* repeated baseline,25,2,2,"(5, 7)","(44, 7)",16,True,False,True,39.0,0
A* repeated baseline,25,3,1,"(5, 5)","(44, 5)",17,True,False,True,40.657,0
A* repeated baseline,25,3,2,"(5, 5)","(44, 5)",17,True,False,True,40.657,0
A* repeated baseline,25,4,1,"(5, 8)","(44, 8)",16,True,False,True,39.828,0
A* repeated baseline,25,4,2,"(5, 8)","(44, 8)",16,True,False,True,39.828,0
A* repeated baseline,25,5,1,"(5, 7)","(44, 5)",16,True,False,True,39.828,0
A* repeated baseline,25,5,2,"(5, 7)","(44, 5)",16,True,False,True,39.828,0
A* repeated baseline,26,1,1,"(5, 5)","(44, 8)",16,True,False,True,40.243,0
A* repeated baseline,26,1,2,"(5, 5)","(44, 8)",16,True,False,True,40.243,0
A* repeated baseline,26,2,1,"(5, 5)","(44, 7)",16,True,False,True,39.828,0
A* repeated baseline,26,2,2,"(5, 5)","(44, 7)",16,True,False,True,39.828,0
A* repeated baseline,26,3,1,"(5, 6)","(44, 6)",17,True,False,True,39.828,0
A* repeated baseline,26,3,2,"(5, 6)","(44, 6)",17,True,False,True,39.828,0
A* repeated baseline,26,4,1,"(5, 9)","(44, 8)",17,True,False,True,40.243,0
A* repeated baseline,26,4,2,"(5, 9)","(44, 8)",17,True,False,True,40.243,0
A* repeated baseline,26,5,1,"(5, 5)","(44, 5)",15,True,False,True,40.657,0
A* repeated baseline,26,5,2,"(5, 5)","(44, 5)",15,True,False,True,40.657,0
A* repeated baseline,27,1,1,"(5, 6)","(44, 6)",15,True,False,True,39.828,0
A* repeated baseline,27,1,2,"(5, 6)","(44, 6)",15,True,False,True,39.828,0
A* repeated baseline,27,2,1,"(5, 8)","(44, 5)",15,True,False,True,40.243,0
A* repeated baseline,27,2,2,"(5, 8)","(44, 5)",15,True,False,True,40.243,0
A* repeated baseline,27,3,1,"(5, 8)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,27,3,2,"(5, 8)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,27,4,1,"(5, 7)","(44, 8)",16,True,False,True,39.414,0
A* repeated baseline,27,4,2,"(5, 7)","(44, 8)",16,True,False,True,39.414,0
A* repeated baseline,27,5,1,"(5, 9)","(44, 6)",16,True,False,True,40.243,0
A* repeated baseline,27,5,2,"(5, 9)","(44, 6)",16,True,False,True,40.243,0
A* repeated baseline,28,1,1,"(5, 5)","(44, 7)",15,True,False,True,39.828,0
A* repeated baseline,28,1,2,"(5, 5)","(44, 7)",15,True,False,True,39.828,0
A* repeated baseline,28,2,1,"(5, 7)","(44, 9)",15,True,False,True,39.828,0
A* repeated baseline,28,2,2,"(5, 7)","(44, 9)",15,True,False,True,39.828,0
A* repeated baseline,28,3,1,"(5, 8)","(44, 6)",16,True,False,True,39.828,0
A* repeated baseline,28,3,2,"(5, 8)","(44, 6)",16,True,False,True,39.828,0
A* repeated baseline,28,4,1,"(5, 5)","(44, 5)",17,True,False,True,40.657,0
A* repeated baseline,28,4,2,"(5, 5)","(44, 5)",17,True,False,True,40.657,0
A* repeated baseline,28,5,1,"(5, 5)","(44, 9)",16,True,False,True,40.657,0
A* repeated baseline,28,5,2,"(5, 5)","(44, 9)",16,True,False,True,40.657,0
A* repeated baseline,29,1,1,"(5, 6)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,29,1,2,"(5, 6)","(44, 5)",16,True,False,True,40.243,0
A* repeated baseline,29,2,1,"(5, 8)","(44, 7)",15,True,False,True,39.414,0
A* repeated baseline,29,2,2,"(5, 8)","(44, 7)",15,True,False,True,39.414,0
A* repeated baseline,29,3,1,"(5, 5)","(44, 6)",17,True,False,True,40.243,0
A* repeated baseline,29,3,2,"(5, 5)","(44, 6)",17,True,False,True,40.243,0
A* repeated baseline,29,4,1,"(5, 6)","(44, 5)",15,True,False,True,40.243,0
A* repeated baseline,29,4,2,"(5, 6)","(44, 5)",15,True,False,True,40.243,0
A* repeated baseline,29,5,1,"(5, 8)","(44, 8)",16,True,False,True,39.828,0
A* repeated baseline,29,5,2,"(5, 8)","(44, 8)",16,True,False,True,39.828,0
Memory-aware replanning,0,1,1,"(5, 8)","(44, 8)",15,True,False,True,39.828,0
Memory-aware replanning,0,1,2,"(5, 8)","(44, 8)",15,True,True,False,44.799,45
Memory-aware replanning,0,2,1,"(5, 7)","(44, 9)",16,True,True,False,45.627,45
Memory-aware replanning,0,3,1,"(5, 8)","(44, 7)",16,True,True,False,46.042,45
Memory-aware replanning,0,4,1,"(5, 7)","(44, 9)",15,True,True,False,44.799,45
Memory-aware replanning,0,5,1,"(5, 9)","(44, 6)",16,True,True,False,46.042,45
Memory-aware replanning,1,1,1,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
Memory-aware replanning,1,1,2,"(5, 6)","(44, 5)",17,True,True,False,48.527,45
Memory-aware replanning,1,2,1,"(5, 7)","(44, 9)",17,True,True,False,46.456,45
Memory-aware replanning,1,3,1,"(5, 9)","(44, 6)",16,True,True,False,46.042,45
Memory-aware replanning,1,4,1,"(5, 5)","(44, 5)",17,True,True,False,48.941,45
Memory-aware replanning,1,5,1,"(5, 7)","(44, 8)",17,True,True,False,46.87,45
