Strategy,Seed,Mission,ObstacleX,ObstacleStart,ObstacleDuration,Success,Replans,WaitSteps,PathLength,TotalCost
Wait-only,4,2,38,27,34,True,0,34,53.0,155.0
Wait-only,5,0,30,20,10,True,0,10,53.0,83.0
Wait-only,5,1,30,20,19,True,0,19,53.0,110.0
Wait-only,5,2,38,26,11,True,0,11,53.0,86.0
Wait-only,6,0,34,24,5,True,0,5,53.0,68.0
Wait-only,6,1,26,16,36,True,0,36,53.0,161.0
Wait-only,6,2,34,22,6,True,0,6,53.0,71.0
Wait-only,7,0,26,15,4,True,0,4,53.0,65.0
Wait-only,7,1,26,16,36,True,0,36,53.0,161.0
Wait-only,7,2,38,28,5,True,0,5,53.0,68.0
Wait-only,8,0,30,18,17,True,0,17,53.0,104.0
Wait-only,8,1,30,20,42,True,0,42,53.0,179.0
Wait-only,8,2,26,13,35,True,0,34,53.0,155.0
Wait-only,9,0,38,26,9,True,0,9,53.0,80.0
Wait-only,9,1,26,15,28,True,0,28,53.0,137.0
Wait-only,9,2,30,19,23,True,0,23,53.0,122.0
Wait-only,10,0,26,15,43,True,0,43,53.0,182.0
Wait-only,10,1,38,27,27,True,0,27,53.0,134.0
Wait-only,10,2,34,24,23,True,0,23,53.0,122.0
Wait-only,11,0,38,25,21,True,0,20,53.0,113.0
Wait-only,11,1,30,20,9,True,0,9,53.0,80.0
Wait-only,11,2,34,23,5,True,0,5,53.0,68.0
Wait-only,12,0,34,22,30,True,0,30,53.0,143.0
Wait-only,12,1,26,14,10,True,0,10,53.0,83.0
Wait-only,12,2,30,20,8,True,0,8,53.0,77.0
Wait-only,13,0,26,15,12,True,0,12,53.0,89.0
Wait-only,13,1,38,26,19,True,0,19,53.0,110.0
Wait-only,13,2,30,20,23,True,0,23,53.0,122.0
Wait-only,14,0,30,19,13,True,0,13,53.0,92.0
Wait-only,14,1,26,16,41,True,0,41,53.0,176.0
Wait-only,14,2,34,21,12,True,0,11,53.0,86.0
Wait-only,15,0,26,15,6,True,0,6,53.0,71.0
Wait-only,15,1,38,25,43,True,0,42,53.0,179.0
Wait-only,15,2,34,21,33,True,0,32,53.0,149.0
Wait-only,16,0,26,15,21,True,0,21,53.0,116.0
Wait-only,16,1,38,25,3,True,0,2,53.0,59.0
Wait-only,16,2,30,20,33,True,0,33,53.0,152.0
Wait-only,17,0,30,20,10,True,0,10,53.0,83.0
Wait-only,17,1,30,20,31,True,0,31,53.0,146.0
Wait-only,17,2,30,20,38,True,0,38,53.0,167.0
Wait-only,18,0,30,18,26,True,0,26,53.0,131.0
Wait-only,18,1,38,27,21,True,0,21,53.0,116.0
Wait-only,18,2,26,16,35,True,0,35,53.0,158.0
Wait-only,19,0,38,25,30,True,0,29,53.0,140.0
Wait-only,19,1,30,18,20,True,0,20,53.0,113.0
Wait-only,19,2,30,20,8,True,0,8,53.0,77.0
Wait-only,20,0,38,27,37,True,0,37,53.0,164.0
Wait-only,20,1,30,18,31,True,0,31,53.0,146.0
Wait-only,20,2,30,17,19,True,0,18,53.0,107.0
Wait-only,21,0,26,16,30,True,0,30,53.0,143.0
Wait-only,21,1,30,19,34,True,0,34,53.0,155.0
Wait-only,21,2,34,21,19,True,0,18,53.0,107.0
Wait-only,22,0,30,17,35,True,0,34,53.0,155.0
Wait-only,22,1,30,19,44,True,0,44,53.0,185.0
Wait-only,22,2,26,13,34,True,0,33,53.0,152.0
Wait-only,23,0,30,19,29,True,0,29,53.0,140.0
Wait-only,23,1,34,22,26,True,0,26,53.0,131.0
Wait-only,23,2,30,18,19,True,0,19,53.0,110.0
Wait-only,24,0,34,22,34,True,0,34,53.0,155.0
Wait-only,24,1,26,13,5,True,0,4,53.0,65.0
Wait-only,24,2,38,27,37,True,0,37,53.0,164.0
Wait-only,25,0,26,15,14,True,0,14,53.0,95.0
Wait-only,25,1,38,26,28,True,0,28,53.0,137.0
Wait-only,25,2,38,28,24,True,0,24,53.0,125.0
Wait-only,26,0,34,24,21,True,0,21,53.0,116.0
Wait-only,26,1,34,21,39,True,0,38,53.0,167.0
Wait-only,26,2,30,20,38,True,0,38,53.0,167.0
Wait-only,27,0,30,20,22,True,0,22,53.0,119.0
Wait-only,27,1,26,15,12,True,0,12,53.0,89.0
Wait-only,27,2,34,21,13,True,0,12,53.0,89.0
Wait-only,28,0,30,20,2,True,0,2,53.0,59.0
Wait-only,28,1,38,27,35,True,0,35,53.0,158.0
Wait-only,28,2,38,28,25,True,0,25,53.0,128.0
