TrajectoryType,ProcessNoise,BaseRiskRadius,UncertaintyScale,Seed,Mission,Success,Replans,WaitSteps,DecisionWaits,DecisionReroutes,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
turn,0.01,1.7,0.02,3,2,False,2,6,0,0,37.828,1.1282,1.7222,305.828
turn,0.01,1.7,0.02,4,0,True,3,9,0,0,104.556,1.1018,1.7212,146.556
turn,0.01,1.7,0.02,4,1,True,3,9,0,0,121.971,1.0856,1.7211,163.971
turn,0.01,1.7,0.02,4,2,True,4,6,0,0,113.042,1.1862,1.7212,151.042
turn,0.01,1.7,0.05,0,0,True,1,4,0,0,79.627,1.2377,1.7537,96.627
turn,0.01,1.7,0.05,0,1,True,4,10,0,0,126.799,1.0684,1.7527,176.799
turn,0.01,1.7,0.05,0,2,True,4,12,0,0,115.042,1.057,1.7529,171.042
turn,0.01,1.7,0.05,1,0,True,1,4,0,0,85.042,1.2686,1.7535,102.042
turn,0.01,1.7,0.05,1,1,True,3,9,0,0,128.314,0.9913,1.7527,170.314
turn,0.01,1.7,0.05,1,2,False,2,6,0,0,49.657,1.2283,1.7547,317.657
turn,0.01,1.7,0.05,2,0,False,1,1,0,0,17.0,1.9491,1.7617,265.0
turn,0.01,1.7,0.05,2,1,True,2,7,0,0,116.799,1.1008,1.7529,147.799
turn,0.01,1.7,0.05,2,2,True,2,7,0,0,90.698,1.0234,1.7534,121.698
turn,0.01,1.7,0.05,3,0,True,1,4,0,0,85.042,1.0271,1.7535,102.042
turn,0.01,1.7,0.05,3,1,False,2,6,0,0,34.485,1.1432,1.7562,302.485
turn,0.01,1.7,0.05,3,2,True,5,14,0,0,119.184,1.1232,1.7528,186.184
turn,0.01,1.7,0.05,4,0,True,3,9,0,0,107.87,1.1018,1.753,149.87
turn,0.01,1.7,0.05,4,1,True,3,9,0,0,123.627,1.0856,1.7528,165.627
turn,0.01,1.7,0.05,4,2,True,1,4,0,0,103.042,1.1833,1.7531,120.042
turn,0.03,1.3,0.01,0,0,True,2,6,0,0,94.698,1.3872,1.3125,122.698
turn,0.03,1.3,0.01,0,1,True,3,7,0,0,125.142,1.2251,1.3124,161.142
turn,0.03,1.3,0.01,0,2,False,3,5,0,0,25.0,1.0686,1.3131,295.0
turn,0.03,1.3,0.01,1,0,True,1,3,0,0,85.042,1.4234,1.3125,99.042
turn,0.03,1.3,0.01,1,1,True,3,7,0,0,129.627,1.161,1.3124,165.627
turn,0.03,1.3,0.01,1,2,True,4,12,0,0,116.314,1.3779,1.3124,172.314
turn,0.03,1.3,0.01,2,0,True,3,5,0,0,56.071,1.4182,1.3126,86.071
turn,0.03,1.3,0.01,2,1,True,8,15,0,0,129.042,1.2218,1.3124,214.042
turn,0.03,1.3,0.01,2,2,False,2,4,0,0,18.0,0.9292,1.3134,280.0
turn,0.03,1.3,0.01,3,0,False,3,5,0,0,17.0,1.3787,1.3134,287.0
turn,0.03,1.3,0.01,3,1,True,0,0,0,0,73.184,1.3013,1.3126,73.184
turn,0.03,1.3,0.01,3,2,False,3,5,0,0,22.0,1.3198,1.3132,292.0
turn,0.03,1.3,0.01,4,0,True,3,11,0,0,113.87,1.2422,1.3124,161.87
turn,0.03,1.3,0.01,4,1,True,2,6,0,0,123.627,1.2478,1.3124,151.627
turn,0.03,1.3,0.01,4,2,True,1,4,0,0,103.042,1.3539,1.3124,120.042
turn,0.03,1.3,0.02,0,0,True,2,8,0,0,122.799,1.3576,1.3248,156.799
turn,0.03,1.3,0.02,0,1,True,3,7,0,0,125.971,1.2251,1.3248,161.971
turn,0.03,1.3,0.02,0,2,True,3,9,0,0,117.627,1.184,1.3248,159.627
turn,0.03,1.3,0.02,1,0,True,1,3,0,0,85.042,1.4234,1.325,99.042
turn,0.03,1.3,0.02,1,1,True,3,7,0,0,129.627,1.161,1.3248,165.627
turn,0.03,1.3,0.02,1,2,True,3,9,0,0,119.627,1.376,1.3248,161.627
turn,0.03,1.3,0.02,2,0,True,3,5,0,0,56.071,1.4182,1.3253,86.071
turn,0.03,1.3,0.02,2,1,True,6,10,0,0,126.698,1.221,1.3248,186.698
turn,0.03,1.3,0.02,2,2,False,2,4,0,0,18.0,0.9292,1.3268,280.0
turn,0.03,1.3,0.02,3,0,False,3,5,0,0,17.0,1.3787,1.3269,287.0
turn,0.03,1.3,0.02,3,1,True,0,0,0,0,73.184,1.3013,1.3252,73.184
turn,0.03,1.3,0.02,3,2,False,4,6,0,0,22.414,1.3198,1.3264,300.414
turn,0.03,1.3,0.02,4,0,True,4,11,0,0,117.527,1.2451,1.3248,170.527
turn,0.03,1.3,0.02,4,1,True,2,6,0,0,123.627,1.2478,1.3248,151.627
turn,0.03,1.3,0.02,4,2,True,1,4,0,0,103.042,1.3539,1.3249,120.042
turn,0.03,1.3,0.05,0,0,True,2,8,0,0,123.627,1.3576,1.3619,157.627
turn,0.03,1.3,0.05,0,1,True,2,6,0,0,117.971,1.2236,1.362,145.971
turn,0.03,1.3,0.05,0,2,True,2,6,0,0,110.799,1.1689,1.3621,138.799
turn,0.03,1.3,0.05,1,0,True,1,3,0,0,85.042,1.4234,1.3625,99.042
turn,0.03,1.3,0.05,1,1,True,3,7,0,0,129.627,1.161,1.3619,165.627
turn,0.03,1.3,0.05,1,2,True,4,12,0,0,119.627,1.3779,1.362,175.627
turn,0.03,1.3,0.05,2,0,False,1,1,0,0,17.0,2.0155,1.3679,265.0
turn,0.03,1.3,0.05,2,1,False,4,12,0,0,68.598,1.2952,1.3628,364.598
turn,0.03,1.3,0.05,2,2,True,3,7,0,0,98.841,1.1183,1.3623,134.841
turn,0.03,1.3,0.05,3,0,False,3,5,0,0,17.0,1.3787,1.3672,287.0
turn,0.03,1.3,0.05,3,1,True,0,0,0,0,73.184,1.3013,1.3629,73.184
turn,0.03,1.3,0.05,3,2,False,4,6,0,0,22.414,1.3198,1.3659,300.414
turn,0.03,1.3,0.05,4,0,True,4,11,0,0,118.355,1.2451,1.362,171.355
turn,0.03,1.3,0.05,4,1,True,4,12,0,0,127.385,1.2371,1.3619,183.385
turn,0.03,1.3,0.05,4,2,True,1,4,0,0,103.042,1.3539,1.3622,120.042
turn,0.03,1.5,0.01,0,0,True,2,8,0,0,123.627,1.3576,1.5124,157.627
turn,0.03,1.5,0.01,0,1,True,3,7,0,0,125.971,1.2251,1.5124,161.971
turn,0.03,1.5,0.01,0,2,True,2,6,0,0,110.799,1.1689,1.5124,138.799
turn,0.03,1.5,0.01,1,0,True,1,3,0,0,85.042,1.4234,1.5125,99.042
turn,0.03,1.5,0.01,1,1,True,3,7,0,0,128.799,1.161,1.5124,164.799
turn,0.03,1.5,0.01,1,2,True,3,9,0,0,119.627,1.376,1.5124,161.627
turn,0.03,1.5,0.01,2,0,True,2,4,0,0,119.083,1.3498,1.5124,141.083
turn,0.03,1.5,0.01,2,1,False,1,3,0,0,26.0,1.2038,1.513,280.0
turn,0.03,1.5,0.01,2,2,True,7,15,0,0,121.569,1.1553,1.5124,201.569
turn,0.03,1.5,0.01,3,0,False,3,5,0,0,17.0,1.3787,1.5134,287.0
turn,0.03,1.5,0.01,3,1,True,0,0,0,0,73.184,1.3013,1.5126,73.184
turn,0.03,1.5,0.01,3,2,True,4,6,0,0,56.314,1.2146,1.5126,94.314
turn,0.03,1.5,0.01,4,0,True,4,11,0,0,117.527,1.2451,1.5124,170.527
turn,0.03,1.5,0.01,4,1,True,2,6,0,0,121.142,1.2478,1.5124,149.142
turn,0.03,1.5,0.01,4,2,True,1,4,0,0,103.042,1.3539,1.5124,120.042
turn,0.03,1.5,0.02,0,0,True,2,8,0,0,123.627,1.3576,1.5248,157.627
turn,0.03,1.5,0.02,0,1,True,2,6,0,0,117.971,1.2236,1.5248,145.971
turn,0.03,1.5,0.02,0,2,True,2,6,0,0,111.627,1.1689,1.5248,139.627
turn,0.03,1.5,0.02,1,0,True,1,3,0,0,85.042,1.4234,1.525,99.042
turn,0.03,1.5,0.02,1,1,True,3,7,0,0,128.799,1.161,1.5248,164.799
