PositionNoise,RiskScale,Seed,Mission,Success,Replans,WaitSteps,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
2.5,0.01,9,0,True,5,9,137.142,3.3379,1.5287,189.142
2.5,0.01,9,1,False,2,3,19.0,5.0467,1.5295,278.0
2.5,0.01,9,2,False,3,7,47.971,3.3026,1.529,323.971
2.5,0.02,0,0,False,1,3,13.0,4.7998,1.5596,267.0
2.5,0.02,0,1,False,2,6,52.042,3.1288,1.5579,320.042
2.5,0.02,0,2,True,3,11,122.598,2.9657,1.5575,170.598
2.5,0.02,1,0,True,6,11,53.0,3.6739,1.5578,116.0
2.5,0.02,1,1,False,1,3,46.556,3.5737,1.558,300.556
2.5,0.02,1,2,True,3,8,103.77,3.5096,1.5576,142.77
2.5,0.02,2,0,True,11,17,124.698,3.3152,1.5575,230.698
2.5,0.02,2,1,False,3,5,28.414,2.8567,1.5584,298.414
2.5,0.02,2,2,False,1,3,18.0,3.5353,1.559,272.0
2.5,0.02,3,0,True,3,8,101.527,2.8561,1.5576,140.527
2.5,0.02,3,1,False,4,7,20.828,4.0343,1.5588,301.828
2.5,0.02,3,2,False,1,3,34.627,2.9707,1.5584,288.627
2.5,0.02,4,0,True,5,12,115.569,3.2869,1.5576,176.569
2.5,0.02,4,1,False,2,6,46.657,3.344,1.5579,314.657
2.5,0.02,4,2,False,3,9,52.113,4.1945,1.5579,334.113
2.5,0.02,5,0,True,3,7,87.042,3.1693,1.5576,123.042
2.5,0.02,5,1,False,2,6,61.657,2.8237,1.5578,329.657
2.5,0.02,5,2,True,5,12,161.284,2.8574,1.5574,222.284
2.5,0.02,6,0,False,5,7,21.0,3.5334,1.5588,307.0
2.5,0.02,6,1,False,2,6,33.799,3.642,1.5583,301.799
2.5,0.02,6,2,True,2,6,117.87,3.388,1.5575,145.87
2.5,0.02,7,0,True,2,8,86.657,3.3063,1.5576,120.657
2.5,0.02,7,1,False,3,9,94.941,3.1805,1.5576,376.941
2.5,0.02,7,2,False,4,7,18.243,4.4452,1.559,299.243
2.5,0.02,8,0,False,8,9,27.0,3.6672,1.5585,334.0
2.5,0.02,8,1,False,1,3,32.799,3.6082,1.5584,286.799
2.5,0.02,8,2,True,1,3,77.527,2.8654,1.5577,91.527
2.5,0.02,9,0,True,5,11,112.698,3.5016,1.5575,170.698
2.5,0.02,9,1,False,2,3,19.0,5.0467,1.559,278.0
2.5,0.02,9,2,False,3,7,48.799,3.3026,1.558,324.799
2.5,0.05,0,0,False,1,3,13.0,4.7998,1.649,267.0
2.5,0.05,0,1,False,2,6,52.87,3.1288,1.6449,320.87
2.5,0.05,0,2,True,3,11,122.598,2.9657,1.6438,170.598
2.5,0.05,1,0,True,2,6,111.77,3.655,1.6439,139.77
2.5,0.05,1,1,True,4,7,54.657,3.3284,1.6447,95.657
2.5,0.05,1,2,True,3,8,103.77,3.5096,1.644,142.77
2.5,0.05,2,0,True,9,18,145.184,3.4295,1.6437,244.184
2.5,0.05,2,1,False,1,3,26.0,2.8094,1.6462,280.0
2.5,0.05,2,2,True,3,9,96.113,3.1304,1.644,138.113
2.5,0.05,3,0,False,4,9,88.87,2.8437,1.6441,375.87
2.5,0.05,3,1,False,4,6,29.485,3.8024,1.6461,307.485
2.5,0.05,3,2,False,1,3,33.799,2.9707,1.646,287.799
2.5,0.05,4,0,True,5,12,114.74,3.2869,1.6439,175.74
2.5,0.05,4,1,False,2,6,46.657,3.344,1.6449,314.657
2.5,0.05,4,2,False,3,9,52.113,4.1945,1.6449,334.113
2.5,0.05,5,0,True,3,7,87.042,3.1693,1.6441,123.042
2.5,0.05,5,1,False,2,6,61.657,2.8237,1.6444,329.657
2.5,0.05,5,2,False,5,11,65.556,2.8678,1.6444,363.556
2.5,0.05,6,0,False,5,7,21.0,3.5334,1.6469,307.0
2.5,0.05,6,1,False,2,6,33.799,3.642,1.6458,301.799
2.5,0.05,6,2,True,6,12,106.698,3.3977,1.6439,172.698
2.5,0.05,7,0,True,2,8,86.657,3.3063,1.644,120.657
2.5,0.05,7,1,False,3,9,42.071,3.0205,1.645,324.071
