TrajectoryType,Strategy,Seed,Mission,Success,Replans,WaitSteps,DecisionWaits,DecisionReroutes,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
sudden-acceleration,Constant velocity memory,1006,2,True,0,1,0,0,73.184,1.1325,1.6,76.184
sudden-acceleration,Constant velocity memory,1007,0,True,3,8,0,0,97.042,1.3155,1.6,136.042
sudden-acceleration,Constant velocity memory,1007,1,True,2,6,0,0,97.385,1.2748,1.6,125.385
sudden-acceleration,Constant velocity memory,1007,2,True,3,9,0,0,91.971,1.394,1.6,133.971
sudden-acceleration,Constant velocity memory,1008,0,True,3,6,0,0,89.042,1.4664,1.6,122.042
sudden-acceleration,Constant velocity memory,1008,1,True,2,6,0,0,94.556,1.2629,1.6,122.556
sudden-acceleration,Constant velocity memory,1008,2,True,1,3,0,0,105.042,1.3981,1.6,119.042
sudden-acceleration,Constant velocity memory,1009,0,True,1,3,0,0,107.042,1.3043,1.6,121.042
sudden-acceleration,Constant velocity memory,1009,1,True,1,3,0,0,109.042,1.2112,1.6,123.042
sudden-acceleration,Constant velocity memory,1009,2,True,1,3,0,0,109.042,1.3126,1.6,123.042
sudden-acceleration,Constant velocity memory,1010,0,True,1,3,0,0,95.042,1.3123,1.6,109.042
sudden-acceleration,Constant velocity memory,1010,1,True,2,6,0,0,120.314,1.2695,1.6,148.314
sudden-acceleration,Constant velocity memory,1010,2,True,1,3,0,0,103.042,1.2588,1.6,117.042
sudden-acceleration,Constant velocity memory,1011,0,True,1,3,0,0,95.042,1.2246,1.6,109.042
sudden-acceleration,Constant velocity memory,1011,1,True,1,3,0,0,109.042,1.3961,1.6,123.042
sudden-acceleration,Constant velocity memory,1011,2,True,4,6,0,0,57.485,1.3424,1.6,95.485
sudden-acceleration,Constant velocity memory,1012,0,True,2,6,0,0,102.314,1.2813,1.6,130.314
sudden-acceleration,Constant velocity memory,1012,1,True,2,6,0,0,108.799,1.3702,1.6,136.799
sudden-acceleration,Constant velocity memory,1012,2,True,3,9,0,0,95.971,1.3061,1.6,137.971
